sentence,path
a agejdur,"common_voice_kab_22384248,common_voice_kab_22384250,common_voice_kab_22400699"
a amaggad,"common_voice_kab_22391201,common_voice_kab_22401092"
a amnafeq,"common_voice_kab_22399383,common_voice_kab_22385187"
a axabit,"common_voice_kab_21730300,common_voice_kab_22413937,common_voice_kab_20456417"
a axeddaɛ,"common_voice_kab_22400260,common_voice_kab_22384407"
a ay iṣaṛen aqelmun ar iḍaṛṛen,"common_voice_kab_17733140,common_voice_kab_17929608,common_voice_kab_18107260,common_voice_kab_17730313,common_voice_kab_17755090,common_voice_kab_18311028,common_voice_kab_18485132,common_voice_kab_17800891,common_voice_kab_17704548,common_voice_kab_18097855,common_voice_kab_17925335,common_voice_kab_18041578"
a aɣ-d-yerr awal mi ara nɛeggeḍ ɣur-s,"common_voice_kab_24210325,common_voice_kab_24423082"
a bab n yiger,"common_voice_kab_22304265,common_voice_kab_19294010,common_voice_kab_20680828,common_voice_kab_21269881"
a bab-is heggi duṛu,"common_voice_kab_20957158,common_voice_kab_19262361,common_voice_kab_20540159,common_voice_kab_19811743,common_voice_kab_21999690"
a baba,"common_voice_kab_21093803,common_voice_kab_24176687,common_voice_kab_19572913,common_voice_kab_20088001,common_voice_kab_20628048,common_voice_kab_22293115"
a baba anect-a akk ay tettagadeḍ,"common_voice_kab_33048284,common_voice_kab_33508272"
a baba bɣiɣ ad dduɣ yid-k ɣer tḥanutt,"common_voice_kab_18740344,common_voice_kab_18947448,common_voice_kab_18768440,common_voice_kab_18711519,common_voice_kab_18777966"
a baba caɛban yewwet-iyi,"common_voice_kab_18606727,common_voice_kab_18541772,common_voice_kab_18629476,common_voice_kab_18950981,common_voice_kab_18525347"
a baba d acu i txedmeḍ akka,"common_voice_kab_23401508,common_voice_kab_23608320"
a baba melmi ara nṛuḥ ɣer lebḥar,"common_voice_kab_18789087,common_voice_kab_18606180,common_voice_kab_18932395,common_voice_kab_18648769,common_voice_kab_18601797"
a baba wten-aɣ,"common_voice_kab_20788096,common_voice_kab_19377826,common_voice_kab_21801620,common_voice_kab_20475610,common_voice_kab_22481800,common_voice_kab_19444372"
a baba yuba yewwi-tt-id,"common_voice_kab_22949418,common_voice_kab_23363846"
a baba ḥnini,"common_voice_kab_18304997,common_voice_kab_18174659,common_voice_kab_18166714,common_voice_kab_22349600,common_voice_kab_18504707"
a belqasem wi ad k-yeḥkun,"common_voice_kab_23600539,common_voice_kab_23696717"
a bgayet a tamurt-iw a tin ɣef ul-iw,"common_voice_kab_19011522,common_voice_kab_19114803,common_voice_kab_22369456,common_voice_kab_20721526,common_voice_kab_21644724"
a bnadem ay tezzewreḍ ur yezmir ḥedd ad ak-t-imḥu,"common_voice_kab_24388811,common_voice_kab_25312862"
a bu ameqqran ḥebber i uzekka,"common_voice_kab_19286092,common_voice_kab_20665193,common_voice_kab_21226844,common_voice_kab_22321345,common_voice_kab_20158973"
a bu ifexruren,"common_voice_kab_18038382,common_voice_kab_18049007,common_voice_kab_18287560,common_voice_kab_18018492,common_voice_kab_22474869,common_voice_kab_18035760"
a bu leɛqel ziɣ mxellen leqbayel,"common_voice_kab_19002524,common_voice_kab_19181617,common_voice_kab_20957942"
a bu leḥnak n taǧǧalt,"common_voice_kab_27701053,common_voice_kab_28830063"
a bu snat bru i yiwet,"common_voice_kab_17726460,common_voice_kab_17785589,common_voice_kab_17868155,common_voice_kab_18233265,common_voice_kab_17729890,common_voice_kab_18441805,common_voice_kab_17868689,common_voice_kab_18059083,common_voice_kab_18295746,common_voice_kab_17717558,common_voice_kab_18311346,common_voice_kab_17775391,common_voice_kab_18957081,common_voice_kab_18703982,common_voice_kab_17732907,common_voice_kab_17787369,common_voice_kab_18672550,common_voice_kab_18247329,common_voice_kab_18792673,common_voice_kab_18282658,common_voice_kab_18692658"
a bu tissmin tisemmamin,"common_voice_kab_24358315,common_voice_kab_24510343"
a bu tkellax iles-ik d lmus iqeḍɛen,"common_voice_kab_24508428,common_voice_kab_27287189"
a bu tɛellumin,"common_voice_kab_18033293,common_voice_kab_18938783,common_voice_kab_17940210,common_voice_kab_17895892,common_voice_kab_18442291"
a bu uqamum n uyaziḍ,"common_voice_kab_18335078,common_voice_kab_18952150,common_voice_kab_18521411,common_voice_kab_18524242,common_voice_kab_18355896"
a bu yigecraren,"common_voice_kab_22338391,common_voice_kab_19314849,common_voice_kab_21570228,common_voice_kab_20196507,common_voice_kab_20687148"
a bu yiles yettkellixen,"common_voice_kab_24509025,common_voice_kab_28533662"
a cacca,"common_voice_kab_18349941,common_voice_kab_18355856,common_voice_kab_18329655,common_voice_kab_18956183,common_voice_kab_18429329"
a caɛban ah ya caɛban taqbaylit anda k-tt-rran,"common_voice_kab_18437467,common_voice_kab_18406359,common_voice_kab_18407785,common_voice_kab_18518878,common_voice_kab_18407765"
a caɛban awi-d astilu-nni ik-muddeɣ iḍelli,"common_voice_kab_18538488,common_voice_kab_18601852,common_voice_kab_18529312,common_voice_kab_18542483,common_voice_kab_18801657"
a ccix aɛrab a lewli,"common_voice_kab_21093584,common_voice_kab_22278661,common_voice_kab_19264722,common_voice_kab_20144430,common_voice_kab_20182951"
a ccix-iw rwaḥ a lawleyya,"common_voice_kab_24279959"
a ccmata,"common_voice_kab_22438402,common_voice_kab_18411921,common_voice_kab_18341442,common_voice_kab_18423846,common_voice_kab_18335227"
a ccuha-m a taneqqact gar tneqcin,"common_voice_kab_17884746,common_voice_kab_17744948,common_voice_kab_17743074,common_voice_kab_17891363,common_voice_kab_17842764,common_voice_kab_17845512,common_voice_kab_17749565,common_voice_kab_17861056,common_voice_kab_17742475,common_voice_kab_17738918,common_voice_kab_17762065,common_voice_kab_17764808,common_voice_kab_17821301,common_voice_kab_17780584,common_voice_kab_17831250,common_voice_kab_17744266,common_voice_kab_17882417,common_voice_kab_17883342,common_voice_kab_17883125,common_voice_kab_17783797,common_voice_kab_17755973"
a ctaɛtaɛ,"common_voice_kab_18307489,common_voice_kab_18309613,common_voice_kab_18924671,common_voice_kab_18469059,common_voice_kab_18306467"
a d i ad yeg maca ad yesseḥdeṛ yakk n tmurt,"common_voice_kab_20728793,common_voice_kab_21697329,common_voice_kab_22401658,common_voice_kab_19321192,common_voice_kab_20255276"
a d kemm i d aṭṭan-iw,"common_voice_kab_21597624,common_voice_kab_22348721,common_voice_kab_20699373,common_voice_kab_19107436,common_voice_kab_19009906"
